"filename", "language", "JSON", "JavaScript", "Ini", "Properties", "MS SQL", "Shell Script", "Markdown", "PHP", "Ignore", "Docker", "TypeScript", "Skill", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Customer\Resources\ArticleResource\Pages\ViewArticle.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Models\Article.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 18, 102
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Models\Category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Models\Tag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Policies\ArticlePolicy.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 24, 104
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Policies\CategoryPolicy.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 24, 104
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Policies\TagPolicy.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 24, 104
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\composer.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\config\filament-shield.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\factories\CategoryFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 13, 6, 43
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\factories\PostFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 13, 7, 60
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\factories\TagFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 13, 5, 35
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\migrations\2025_03_06_093011_create_blogs_categories_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 6, 42
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\migrations\2025_03_06_094011_create_blogs_posts_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 9, 62
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\migrations\2025_03_07_065635_create_blogs_tags_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 6, 38
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\migrations\2025_03_07_065715_create_blogs_post_tags_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 5, 33
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\database\migrations\2025_09_03_070414_alter_blogs_posts_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 7, 42
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\postcss.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\css\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\dist\blogs.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\clusters\configurations\resources\category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 16, 111
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\clusters\configurations\resources\category\pages\manage-categories.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\clusters\configurations\resources\category\pages\view-blog.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\clusters\configurations\resources\tag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\clusters\configurations\resources\tag\pages\manage-tags.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\resources\post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 27, 182
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\resources\post\pages\create-post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\resources\post\pages\edit-post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\resources\post\pages\list-posts.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\admin\resources\post\pages\view-post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\customer\resources\category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\customer\resources\category\pages\list-records.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\customer\resources\category\pages\view-category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
